shot,binary_string
532,000110b
533,010010b
534,000110b
535,010010b
536,000000b
537,010010b
538,010010b
539,000000b
540,000000b
541,000110b
542,000110b
543,010010b
544,010010b
545,010100b
546,010010b
547,000110b
548,000000b
549,000000b
550,000000b
551,000000b
552,010010b
553,010100b
554,010010b
555,000000b
556,010010b
557,000000b
558,010010b
559,010010b
560,010100b
561,000000b
562,000000b
563,010100b
564,010100b
565,010100b
566,010100b
567,010010b
568,000110b
569,010010b
570,010010b
571,010100b
572,010010b
573,000110b
574,010100b
575,010010b
576,010100b
577,000110b
578,010010b
579,010100b
580,000000b
581,010010b
582,000000b
583,000110b
584,000000b
585,000000b
586,000110b
587,000000b
588,010010b
589,010100b
590,000000b
591,000000b
592,010010b
593,000110b
594,000000b
595,010010b
596,010100b
597,010100b
598,010100b
599,000110b
600,010010b
601,010010b
602,000110b
603,000000b
604,000000b
605,010100b
606,000110b
607,010100b
608,010010b
609,000000b
610,010100b
611,000000b
612,000000b
613,000000b
614,010100b
615,000110b
616,000000b
617,010010b
618,010100b
619,000110b
620,000000b
621,000110b
622,010010b
623,010100b
624,010100b
625,000000b
626,000000b
627,010010b
628,000000b
629,000000b
630,000110b
631,000110b
632,000000b
633,000110b
634,000000b
635,000110b
636,000110b
637,000110b
638,000110b
639,010100b
640,010100b
641,000000b
642,000110b
643,010100b
644,010100b
645,010100b
646,000110b
647,000110b
648,010100b
649,000110b
650,000110b
651,000000b
652,010010b
653,010100b
654,010010b
655,000110b
656,010010b
657,000110b
658,000000b
659,010100b
660,010010b
661,000110b
662,010010b
663,000000b
664,000110b
665,010010b
666,000110b
667,000110b
668,000110b
669,000000b
670,000110b
671,000110b
672,010100b
673,000000b
674,000110b
675,000000b
676,000110b
677,010100b
678,010100b
679,010100b
680,000000b
681,000110b
682,010010b
683,010010b
684,000000b
685,000000b
686,000110b
687,000000b
688,000000b
689,000110b
690,000110b
691,000110b
692,010010b
693,000110b
694,000110b
695,000110b
696,000000b
697,000000b
698,000110b
699,000110b
700,000000b
701,010100b
702,000000b
703,010010b
704,010100b
705,000110b
706,010100b
707,000110b
708,010100b
709,000000b
710,000000b
711,010100b
712,010100b
713,000110b
714,000110b
715,000110b
716,000110b
717,000110b
718,010100b
719,000110b
720,000000b
721,010010b
722,000110b
723,010010b
724,000000b
725,010100b
726,010010b
727,010100b
728,000110b
729,010100b
730,010010b
731,000110b
732,000110b
733,000110b
734,000110b
735,010100b
736,000110b
737,000000b
738,010010b
739,000000b
740,010100b
741,000110b
742,000110b
743,000000b
744,000110b
745,010010b
746,010010b
747,010100b
748,010100b
749,000000b
750,000000b
751,000110b
752,000110b
753,010010b
754,000110b
755,000000b
756,010010b
757,000110b
758,000110b
759,000110b
760,000000b
761,000110b
762,000110b
763,010010b
764,010010b
765,000110b
766,000110b
767,010100b
768,010010b
769,000110b
770,010100b
771,010010b
772,010010b
773,000000b
774,000110b
775,000110b
776,000110b
777,010010b
778,000110b
779,010010b
780,000000b
781,000110b
782,010100b
783,000000b
784,010100b
785,010010b
786,010010b
787,000110b
788,010010b
789,000000b
790,010100b
791,000110b
792,000110b
793,000110b
794,010100b
795,010100b
796,010010b
797,000000b
798,000110b
799,010010b
800,000000b
801,010100b
802,000000b
803,000110b
804,000110b
805,000000b
806,010100b
807,000000b
808,010100b
809,000000b
810,010100b
811,010100b
812,000110b
813,010010b
814,010010b
815,010010b
816,010010b
817,010010b
818,000110b
819,000000b
820,000000b
821,000110b
822,010010b
823,010010b
824,000000b
825,000110b
826,000110b
827,000110b
828,010100b
829,000110b
830,000110b
831,000110b
832,000000b
833,000000b
834,000110b
835,000110b
836,000110b
837,000000b
838,010010b
839,000110b
840,010100b
841,010010b
842,010010b
843,010100b
844,000000b
845,000000b
846,010100b
847,000110b
848,000110b
849,000000b
850,000110b
851,000000b
852,010010b
853,010100b
854,010010b
855,010100b
856,000000b
857,000000b
858,000000b
859,010100b
860,010010b
861,000110b
862,000110b
863,010010b
864,000110b
865,000110b
866,000000b
867,000110b
868,000110b
869,000000b
870,010100b
871,000110b
872,000000b
873,010100b
874,010100b
875,010100b
876,000000b
877,000000b
878,010010b
879,010010b
880,010010b
881,010010b
882,000110b
883,000110b
884,010100b
885,010100b
886,000000b
887,000110b
888,010010b
889,010100b
890,000110b
891,000000b
892,010100b
893,000110b
894,000000b
895,010100b
896,010010b
897,010010b
898,010010b
899,010010b
900,000000b
901,000000b
902,000110b
903,000110b
904,000000b
905,010010b
906,000000b
907,000110b
908,000110b
909,010010b
910,010010b
911,010100b
912,000110b
913,010010b
914,000000b
915,010010b
916,000110b
917,000110b
918,010010b
919,010100b
920,000000b
921,000110b
922,010010b
923,000000b
924,010010b
925,000110b
926,000000b
927,000000b
928,010010b
929,000000b
930,010100b
931,000110b
932,010010b
933,000000b
934,000000b
935,000000b
936,000000b
937,000110b
938,010100b
939,000110b
940,010010b
941,010010b
942,000110b
943,000110b
944,010100b
945,010010b
946,010100b
947,000000b
948,010100b
949,000000b
950,010010b
951,010100b
952,010010b
953,000000b
954,000110b
955,010100b
956,000110b
957,000000b
958,010010b
959,010010b
960,010100b
961,000110b
962,010010b
963,010100b
964,010010b
965,010100b
966,010100b
967,000000b
968,010010b
969,000110b
970,010010b
971,010010b
972,010100b
973,010100b
974,010010b
975,000110b
976,000110b
977,000110b
978,010100b
979,010100b
980,010010b
981,000000b
982,000000b
983,010010b
984,000000b
985,000110b
986,010010b
987,000110b
988,010100b
989,010010b
990,010100b
991,000000b
992,000110b
993,010100b
994,010010b
995,010100b
996,010100b
997,000000b
998,000110b
999,000000b
1000,000000b
1001,000110b
1002,010010b
1003,010010b
1004,000000b
1005,010100b
1006,010100b
1007,010010b
1008,010010b
1009,010100b
1010,000000b
1011,000110b
1012,000110b
1013,010100b
1014,010010b
1015,010100b
1016,010010b
1017,010010b
1018,000000b
1019,010100b
1020,000000b
1021,000110b
1022,000000b
1023,010010b
